universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","FISIKA I",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","MATEMATIKA I",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","MENGGAMBAR BANGUNAN SIPIL",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","PENGUKURAN DAN PEMETAAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","KIMIA I",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","ANALISIS STRUKTUR STATIS TERTENTU",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","MEKANIKA BAHAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","PERANCANGAN BANGUNAN GEDUNG **",4,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","PERANCANGAN BANGUNAN JALAN-JEMBATAN **",4,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","FISIKA II",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","MATEMATIKA II",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","ANALISIS STRUKTUR STATIS TAK TENTU",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","TEKNOLOGI BAHAN DAN BETON",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","SIFAT FISIS TANAH",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","MEKANIKA FLUIDA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","HIDROLIKA",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","GEOMETRI JALAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","STRUKTUR BETON",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","HIDROLOGI",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","TEGANGAN TANAH",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","STATISTIK",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","MATEMATIKA III",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","DESAIN PONDASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","MANAJEMEN PROYEK",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","REKAYASA GEMPA",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","STRUKTUR JEMBATAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","PERKERASAN JALAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","INFRASTRUKTUR HIJAU DAN PINTAR",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","IRIGASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Genap","STRUKTUR BAJA",3,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","BAHASA INGGRIS",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","METODE NUMERIK",3,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","DRAINASE",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","LITERASI DIGITAL",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","ESTIMASI BIAYA KONSTRUKSI",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","KIMIA II",3,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","METODOLOGI PENELITIAN",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Sipil","Ganjil","PERANCANGAN BANGUNAN BETON",1,5,"Wajib"
