universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Ganjil","BIOLOGI",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Ganjil","FISIKA",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Ganjil","KETAHANAN PANGAN GLOBAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Ganjil","KIMIA",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Ganjil","PENGANTAR TEKNOLOGI PERTANIAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Genap","FISIOLOGI PASCA PANEN",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Genap","KALKULUS",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Genap","KIMIA ORGANIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Genap","MIKROBIOLOGI",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pangan Dan Hasil Pertanian","Genap","PENGETAHUAN BAHAN",2,2,"Wajib"
