universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","PSIKOLOGI PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","PENDIDIKAN INKLUSIF",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","KOMUNIKASI DAN DESAIN PESAN PEMBELAJARAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","TEORI BELAJAR DAN PEMBELAJARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","MEDIA PEMBELAJARAN",4,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","ILMU PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","DASAR TEKNOLOGI PENDIDIKAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","PENGEMBANGAN MEDIA VISUAL",4,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","LANDASAN FILOSOFIS PENDIDIKAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","DESAIN DAN STRATEGI PEMBELAJARAN",6,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","KAJIAN KURIKULUM",4,2,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","METODOLOGI PENELITIAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","BAHASA INGGRIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","STATISTIK PENDIDIKAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","LITERASI DIGITAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","TEKNOLOGI KINERJA",4,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","PENGEMBANGAN MULTIMEDIA INTERAKTIF",4,3,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","INOVASI PEMBELAJARAN DIGITAL",4,4,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","PENGEMBANGAN MEDIA AUDIO VISUAL",6,4,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","ANIMASI 2D & 3D",4,4,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","SEMINAR HASIL DAN PUBLIKASI PROYEK DI DESA",4,5,"Pilihan"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","SEMINAR HASIL DAN PUBLIKASI PROGRAM WIRAUSAHA",4,5,"Pilihan"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","SEMINAR HASIL DAN PUBLIKASI PROGRAM MENGAJAR DI SEKOLAH",4,5,"Pilihan"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","SEMINAR HASIL DAN PUBLIKASI PROYEK INDEPENDEN",4,5,"Pilihan"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","SEMINAR HASIL DAN PUBLIKASI MAGANG PRAKTIK INDUSTRI",4,5,"Pilihan"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","SEMINAR HASIL DAN PUBLIKASI PENELITIAN/RISET",4,5,"Pilihan"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","SEMINAR HASIL DAN PUBLIKASI PROYEK KEMANUSIAAN",4,5,"Pilihan"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","SEMINAR HASIL DAN PUBLIKASI PROGRAM BELA NEGARA",4,5,"Pilihan"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","SEMINAR HASIL DAN PUBLIKASI PROGRAM PERTUKARAN PELAJAR",4,5,"Pilihan"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","PLP-ASESMEN PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","PLP-PENGEMBANGAN PROGRAM SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","PLP-ANALISIS KURIKULUM",2,6,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","PLP-MANAJEMEN SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","PLP-PENGEMBANGAN BAHAN AJAR",3,6,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","PLP-PENGEMBANGAN MEDIA PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","PLP-PENGEMBANGAN RENCANA PEMBELAJARAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","SEMINAR TUGAS AKHIR",2,6,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","EMPATI DAN KECERDASAN EMOSIONAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","MANAJEMEN EVENT REGIONAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","KOMUNIKASI DAN KERJA TIM",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","NATIONAL CONFERENCE",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","SOFTSKILLS",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","INTERNASIONAL CONFERENCE",3,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","BERPIKIR KRITIS DAN KREATIF",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","KEPEMIMPINAN INKLUSI",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","COMMUNICATION SKILLS",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","PEMBELAJARAN EMOSI DAN SOSIAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","INOVASI DAN DIFUSI PENDIDIKAN",4,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","AI DALAM PEMBELAJARAN",4,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Ganjil","EVALUASI MEDIA PEMBELAJARAN",4,7,"Wajib"
"Universitas Negeri Surabaya","Teknologi Pendidikan","Genap","TUGAS AKHIR",4,8,"Wajib"
